m/z	intensity
145.11528	0.0
145.11697	23.0
145.11867	0.0
145.12036	47.0
145.12204	0.0
145.12373	59.0
145.12543	23.0
145.12712	0.0
145.12881	35.0
145.1305	0.0
145.13219	0.0
145.13388	23.0
145.13557	0.0
146.08876	0.0
146.09045	23.0
146.09215	0.0
146.1142	0.0
146.11589	35.0
146.11758	0.0
146.1583	0.0
146.15999	89.0
146.16168	47.0
146.16339	117.0
146.16508	87.0
146.16678	47.0
146.16847	59.0
146.17017	59.0
146.17186	0.0
146.98383	0.0
146.98552	23.0
146.98723	0.0
147.00084	0.0
147.00253	23.0
147.00424	0.0
147.03656	0.0
147.03827	23.0
147.03996	0.0
147.05528	0.0
147.05698	23.0
147.05869	0.0
147.06038	0.0
147.06209	59.0
147.06378	23.0
147.06549	23.0
147.06718	0.0
147.0689	0.0
147.07059	23.0
147.0723	0.0
147.0757	0.0
147.0774	23.0
147.0791	23.0
147.0808	23.0
147.0825	0.0
147.09952	0.0
147.10121	23.0
147.10292	0.0
147.11143	0.0
147.11313	35.0
147.11484	23.0
147.11653	0.0
147.11824	35.0
147.11993	23.0
147.12164	23.0
147.12334	0.0
147.1659	0.0
147.16759	23.0
147.1693	0.0
148.07108	0.0
148.07278	35.0
148.0745	0.0
148.07619	35.0
148.0779	0.0
148.09157	0.0
148.09326	35.0
148.09497	0.0
148.09668	0.0
148.09839	23.0
148.1001	0.0
148.57173	0.0
148.57344	23.0
148.57515	23.0
148.57686	0.0
148.57857	23.0
148.58028	0.0
148.93109	0.0
148.9328	23.0
148.93451	0.0
149.00815	0.0
149.00986	23.0
149.01157	0.0
149.01329	46.0
149.015	76.0
149.01671	209.0
149.01842	731.0
149.02014	1926.0
149.02185	2032.0
149.02356	1713.0
149.02527	1497.0
149.027	713.0
149.0287	411.0
149.03041	146.0
149.03212	137.0
149.03384	71.0
149.03555	58.0
149.03726	0.0
149.0424	0.0
149.04411	23.0
149.04582	35.0
149.04755	23.0
149.04926	0.0
149.05267	0.0
149.0544	23.0
149.0561	0.0
149.05782	47.0
149.05952	0.0
149.06467	0.0
149.06638	23.0
149.0681	0.0
